heart_rate,acc_x,acc_y,acc_z,acceleration_magnitude,sound_level,time_of_day,label
63.4,0.118,0.076,0.036,0.145,51.78,3,0
120.33,-1.861,0.765,-0.898,2.204,72.97,20,1
72.82,-0.176,1.266,0.127,1.285,64.48,22,0
59.33,0.019,-0.472,0.09,0.481,67.88,20,0
105.01,-1.031,0.347,0.695,1.291,71.37,14,1
89.29,0.945,-0.542,-0.053,1.091,53.27,0,0
69.45,-0.112,-0.122,0.048,0.172,56.83,11,0
92.54,0.067,0.183,-0.457,0.496,46.31,13,0
72.89,-0.761,0.187,-0.638,1.011,21.08,16,0
65.66,0.654,-0.389,0.709,1.04,20.52,7,0
65.04,0.301,-1.252,0.058,1.289,59.39,5,0
75.63,-0.457,0.824,1.465,1.741,40.4,20,0
99.44,0.079,0.409,-0.47,0.628,35.43,11,0
91.42,-0.299,0.591,-0.875,1.098,34.31,4,0
129.05,-1.707,0.425,-0.334,1.79,63.89,12,1
94.98,0.043,0.126,0.067,0.149,30.93,19,0
60.56,-0.611,-0.241,-0.194,0.685,47.66,8,0
125.98,-0.428,0.821,-1.173,1.494,74.81,22,1
58.7,0.017,0.682,0.102,0.69,36.63,19,0
99.44,-0.558,0.949,-1.715,2.038,72.74,18,1
69.19,0.117,-0.036,-0.165,0.206,55.97,9,0
80.23,-1.959,0.67,0.431,2.115,35.7,12,0
61.55,0.147,0.114,-1.277,1.291,44.84,14,0
100.99,-0.452,0.463,-0.561,0.857,34.33,2,0
105.3,1.723,0.946,0.244,1.98,57.5,15,1
60.12,-0.331,0.262,0.504,0.657,37.09,9,0
162.26,-1.163,-0.635,-2.344,2.692,92.84,18,2
98.06,0.01,0.035,-0.046,0.059,40.31,15,0
79.53,-0.717,0.255,-0.727,1.052,28.09,6,0
66.51,-0.312,-0.012,0.211,0.377,76.0,14,0
83.88,0.372,0.927,1.278,1.622,30.4,20,0
110.97,0.647,-0.881,0.298,1.133,30.89,14,0
67.59,1.046,-0.188,0.293,1.102,80.35,3,0
129.26,1.308,0.678,-0.598,1.589,64.21,23,1
89.95,0.13,0.439,0.197,0.498,26.51,6,0
114.57,2.419,-0.871,1.273,2.869,93.77,7,2
102.85,-0.131,-1.559,0.461,1.631,81.84,8,1
110.13,-0.867,0.422,-0.139,0.974,54.49,11,0
90.91,-0.524,-1.106,-1.554,1.978,32.7,19,0
119.93,1.253,1.497,0.566,2.033,68.54,10,1
89.32,-0.45,-0.946,0.709,1.265,59.22,1,0
113.69,-0.35,-0.076,1.316,1.364,63.71,4,1
86.03,0.256,0.276,-0.814,0.897,55.14,23,0
79.19,4.840315701295762,-0.646,0.202,4.887409957043739,35.84,11,0
96.32,0.151,1.026,-1.565,1.877,44.2,5,0
62.48,0.652,0.251,-1.02,1.236,55.36,16,0
74.79,-0.573,-0.617,0.049,0.844,24.67,22,0
87.37,0.163,0.354,0.38,0.544,42.67,23,0
66.83,0.321,1.427,0.249,1.484,57.83,0,0
80.54,0.037,0.027,-0.872,0.873,45.62,7,0
87.38,-1.543,-0.411,0.455,1.66,33.36,9,0
82.73,-0.478,0.171,-0.065,0.512,76.19,20,0
100.64,-0.948,0.225,-1.271,1.602,75.31,1,1
125.08,-0.787,0.358,-1.848,2.04,85.81,4,1
71.36,0.292,-0.303,-0.939,1.029,33.12,16,0
102.89,0.045,-0.354,1.383,1.429,38.31,17,0
73.61,-0.166,-0.21,-0.325,0.422,70.06,13,0
107.04,0.032,-0.527,-0.603,0.801,62.74,19,0
118.98,-0.175,-0.326,-0.112,0.386,23.0,15,0
115.07,1.921,0.028,1.067,2.198,72.87,19,1
62.67,0.216,-0.291,0.175,0.403,22.42,20,0
84.79,-0.039,-0.008,-0.019,0.044,33.17,19,0
73.28,-0.59,-0.734,-0.866,1.279,61.72,22,0
76.46,0.124,-1.179,0.582,1.32,42.78,11,0
86.24,0.048,0.914,1.559,1.808,45.71,0,0
100.78,-1.567,0.928,-0.942,2.05,42.47,22,0
81.24,0.368,0.06,-0.466,0.596,41.62,23,0
56.0,-0.587,0.811,0.233,1.028,57.99,2,0
91.65,-1.357,-0.326,-0.379,1.446,43.05,3,0
71.9,0.054,-0.192,0.704,0.731,54.88,21,0
63.03,0.12,0.047,0.124,0.179,41.79,23,0
75.61,0.037,0.053,0.022,0.068,57.16,20,0
87.38,2.464,0.325,0.365,2.512,54.31,11,0
103.19,-1.501,0.862,-1.721,2.441,59.81,9,1
102.27,-0.739,1.202,0.647,1.552,78.38,11,1
146.75,-1.32,0.902,-1.601,2.262,78.62,10,1
116.7,-0.221,-0.066,0.137,0.268,34.67,7,0
88.04,0.219,-0.025,0.964,0.989,56.59,8,0
103.06,0.144,-1.424,-1.164,1.845,75.52,7,1
59.45,0.627,-0.371,1.028,1.26,37.75,5,0
99.97,2.097,-0.725,-0.509,2.277,88.67,13,1
82.13,1.231,-0.181,-0.255,1.27,38.41,13,0
69.83,-0.357,-0.554,0.259,0.708,58.29,2,0
87.8,0.806,0.949,0.063,1.247,83.26,21,0
89.77,1.119,0.941,-0.171,1.472,47.58,2,0
77.36,-0.344,0.419,-0.009,0.542,34.41,5,0
117.04,0.697,-1.371,-0.142,1.544543298195295,127.90870048845444,11,0
109.35,1.407,-0.305,-0.174,1.45,83.82,0,1
119.89,-0.725,0.96,-0.523,1.312,64.36,20,1
61.05,0.084,-0.038,-0.209,0.229,30.5,5,0
129.12,0.638,0.121,-1.396,1.539,73.78,22,1
78.31,1.58,-0.589,1.839,2.495,34.18,18,0
70.04,-0.975,0.237,-0.381,1.074,30.91,2,0
77.83,0.161,0.178,-0.793,0.829,61.4,2,0
72.91,-0.109,-0.226,0.199,0.32,61.59,0,0
83.95,0.03,-0.224,-0.018,0.226,56.15,5,0
125.09,1.867,0.413,0.458,1.966,74.34,12,1
80.45,0.078,0.12,0.006,0.143,52.57,16,0
83.8,0.152,0.206,-0.042,0.26,25.21,14,0
109.36,-0.81,0.12,-1.578,1.777,65.83,18,1
83.55,-0.208,0.874,0.11,0.905,50.87,21,0
66.85,0.129,-0.085,-4.564145314515831,4.566759075319916,39.68,18,0
57.73,0.554,0.163,0.336,0.668,44.59,12,0
67.12,0.19,0.051,-0.654,0.683,23.54,21,0
69.83,0.042,0.078,-0.453,0.462,40.95,2,0
84.25,-0.235,-0.61,0.172,0.676,37.59,4,0
88.22,0.178,0.408,0.414,0.608,52.53,22,0
113.77,0.636,-0.748,0.385,1.054,37.62,20,0
81.35,0.205,-0.167,0.133,0.296,73.53,21,0
71.37,-0.248,-1.405,0.199,1.441,57.17,23,0
99.93,0.021,-0.034,-0.05,0.064,36.24,19,0
94.24,-0.799,-0.122,0.006,0.809,47.98,1,0
73.01,0.163,0.185,-0.138,0.282,24.23,21,0
101.72,-0.183,-1.372,1.917,2.364,50.16,16,1
83.5,-1.442,0.237,-0.474,1.537,29.41,18,0
99.53,-0.716,-0.774,-1.118,1.537,23.81,22,0
102.08,-0.087,-0.2,-0.581,0.621,71.41,15,0
69.16,-0.382,-0.564,-0.256,0.727,53.72,16,0
68.41,-0.302,-0.594,-0.541,0.859,55.18,0,0
116.69,-0.316,-0.097,-1.34,1.38,30.49,9,0
117.44,1.087,2.265,-0.537,2.569,75.02,4,1
96.8,0.198,0.368,1.798,1.846,47.03,2,0
81.39,-0.198,-0.67,-0.082,0.704,38.48,5,0
67.96,0.581,1.257,0.733,1.567,51.01,6,0
69.5,-0.221,0.278,0.225,0.421,37.78,16,0
106.48,0.628,1.081,0.801,1.485,57.57,4,0
87.67,0.187,-0.389,-0.036,0.433,56.66,14,0
169.71,2.549,1.29,1.379,3.172,86.77,22,2
97.14,0.96,0.379,0.305,1.077,36.49,19,0
74.9,-0.653,0.209,-0.879,1.115,47.07,21,0
118.8,0.403,0.107,-0.902,0.994,30.37,7,0
110.51,-0.934,1.481,0.531,1.83,65.45,3,1
85.38,1.303,-0.232,0.968,1.64,34.37,19,0
71.46,-0.664,1.687,1.253,2.203,46.15,5,0
128.65,-0.408,0.559,-2.229,2.334,67.26,11,1
93.26,0.083,0.092,-0.106,0.163,59.61,4,0
110.4,-0.522,-0.3,-1.354,1.482,54.98,8,0
169.15,-2.155,0.328,2.28,3.154,86.67,1,2
61.48,0.233,-0.183,-0.106,0.315,47.27,13,0
107.73,-1.027,-0.782,-0.356,1.339,47.57,23,0
123.59,1.0,1.327,0.7,1.803,81.37,5,1
92.12,-0.286,-0.328,-0.396,0.589,43.58,3,0
66.55,-0.749,-1.014,-0.687,1.435,56.57,7,0
102.15,-0.135,-0.279,-0.419,0.521,49.24,2,0
101.31,0.44,-1.359,0.78,1.628,40.96,6,0
82.03,-0.571,-0.082,-0.497,0.761,53.87,4,0
72.87,0.793,0.818,-1.038,1.542,41.76,18,0
93.18,-0.071,-0.095,0.356,0.375,47.69,4,0
91.87,0.267,0.132,0.038,0.301,29.38,16,0
155.9,-0.947,2.3,0.376,2.516,95.75,2,2
31.007500032716504,-2.044,-1.513,0.459,2.584141250009372,86.79,23,1
102.5,0.104,0.513,0.412,0.666,39.39,14,1
70.69,-0.302,0.886,-0.427,1.029,38.26,12,0
87.77,0.245,-0.472,0.035,0.533,26.83,21,0
115.54,1.329,1.071,0.959,1.958,50.7,21,1
66.98,-0.499,-0.398,0.223,0.676,30.92,4,0
110.5,-1.007,-1.84,1.274,2.454,80.63,16,1
62.27,-0.52,0.588,0.463,0.912,42.78,12,0
86.08,-0.484,1.756,-0.021,1.821,23.76,5,0
86.24,0.651,-1.232,-0.375,1.443,50.13,2,0
163.33,-2.046,-0.463,-2.476,3.245,112.5,15,2
140.58,0.117,1.511,-2.185,2.659,91.03,12,2
93.41,-0.431,-0.521,0.258,0.723,51.62,17,0
84.7,-0.603,0.554,-1.134,1.398,28.13,8,0
87.08,0.304,-0.462,0.554,0.783,39.92,9,0
116.44,-0.702,-1.167,-0.983,1.679,73.06,4,1
70.44,-0.392,0.53,-0.62,0.905,63.62,6,0
83.64,0.083,-0.546,1.324,1.434,43.3,17,0
81.96,0.126,0.05,-0.548,0.565,23.14,3,0
109.26,1.225,-0.655,0.76,1.583,68.85,22,1
95.25,0.795,-0.163,0.208,0.838,29.96,5,0
96.72,0.374,-0.09,0.071,0.391,22.84,20,0
104.0,-0.316,-0.236,-0.262,0.474,41.65,9,0
78.48,0.301,-0.231,-1.14,1.202,39.74,0,0
112.23,-0.437,2.035,0.865,2.254,81.8,4,1
71.51,1.383,0.121,-0.698,1.554,60.44,21,0
157.07,1.709,-1.104,2.13,2.946,94.53,7,2
145.34,0.228,1.869,-0.234,1.898,110.04,6,2
95.75,-1.104,-1.978,-0.775,2.394,27.04,4,0
121.67,-0.215,1.48,-0.153,1.503,68.14,23,1
147.69,1.983,-2.435,-0.096,3.142,102.88,13,2
68.07,0.284,0.999,0.297,1.08,25.62,18,0
85.56,0.013,-0.506,0.347,0.613,49.09,7,0
89.97,0.912,0.553,1.334,1.708,33.21,7,0
167.78,1.215,-1.269,-1.762,2.488,112.5,16,2
97.91,1.748,0.394,-0.762,1.947,62.99,21,1
72.0,-1.273,-0.609,-0.638,1.549,37.94,14,0
80.22,0.788,-0.354,-1.927,2.112,30.5,18,0
93.03,0.377,0.992,0.483,1.166,24.02,2,0
74.3,0.86,1.47,1.141,2.05,46.6,16,0
113.9,0.169,0.313,1.858,1.891,60.05,18,1
91.33,-0.263,-0.412,1.154,1.254,32.68,16,0
100.58,-1.227,1.033,-0.833,1.807,79.96,7,1
61.48,-0.444,-0.175,-0.486,0.681,34.81,11,0
99.4,-1.276,0.191,-1.711,2.143,81.66,21,1
88.35,-0.334,0.586,-1.123,1.311,44.16,3,0
94.97,-0.687,-0.503,0.166,0.867,24.55,5,0
104.4,-0.328,0.408,-0.013,0.524,43.0,12,0
113.02,-0.086,-0.671,1.087,1.28,58.46,8,0
124.26,1.438,0.854,-1.141,2.025,56.98,23,1
71.42,-0.143,-0.162,0.604,0.641,45.9,21,0
95.28,0.457,-1.474,0.013,1.544,52.57,4,0
87.08,-0.779,0.625,0.499,1.117,51.26,15,0
129.02,-1.623,0.378,-0.928,1.907,73.23,23,1
82.08,0.225,-0.723,-0.133,0.768,50.07,21,0
60.61,-0.625,0.739,-0.839,1.281,46.73,5,0
96.78,0.812,-1.081,-0.282,1.382,65.77,11,0
134.88,-0.809,-1.539,-1.977,2.633,86.55,21,2
112.7,0.634,0.892,1.107,1.557,83.94,12,1
85.37,0.182,-0.03,-0.391,0.432,69.33,13,0
90.6,0.63,-0.042,-0.136,0.646,52.3,18,0
68.44,0.202,-0.273,0.826,0.893,21.01,22,0
90.73,-0.083,0.884,0.062,0.89,50.9,2,0
153.16,-2.42,1.868,-0.682,3.132,99.14,1,2
77.03,0.049,-0.082,-0.167,0.193,55.06,7,0
130.0,-0.535,0.785,0.049,0.952,32.44,20,0
111.75,0.889,-0.382,-1.724,1.976,86.8,11,1
112.69,-0.066,0.043,0.037,0.087,30.55,21,0
96.97,-0.862,-0.093,1.497,1.73,37.86,22,0
64.22,0.292,0.492,-0.547,0.792,22.14,10,0
85.32,0.259,1.91,-0.261,1.945,71.54,16,1
107.37,1.752,0.226,-0.578,1.859,75.81,8,1
88.98,0.152,-1.322,-0.025,1.331,40.68,3,0
86.44,0.773,-0.523,1.163,1.491,53.0,1,0
122.78,-1.286,0.32,2.077,2.464,76.0,19,1
111.04,-2.574,1.396,0.157,2.933,75.45,2,1
121.43,1.041,-0.596,2.416,2.697,69.07,0,1
96.66,-1.001,0.367,-0.783,1.323,19.83,21,0
74.47,1.123,-0.974,0.32,1.52,35.8,6,0
89.38,0.136,0.333,0.22,0.421,51.16,22,0
64.46,-0.43,1.065,-0.72,1.355,47.73,2,0
146.99,-1.287,-1.569,2.964,3.592,111.71,8,2
79.35,0.855,-0.188,0.891,1.249,55.11,13,0
159.53,0.645,3.535,0.834,3.689,88.7,11,2
122.14,-0.855,-0.933,-1.208,1.749,79.67,1,1
80.6,0.499,-0.642,-0.576,0.997,43.61,4,0
97.56,-0.095,-0.227,-0.169,0.298,53.22,4,0
91.6,-1.408,1.05,0.02,1.756,42.78,3,0
88.44,-0.009,-0.024,-0.029,0.039,31.43,18,0
145.29,-0.724,1.654,1.869,2.599,91.66,23,2
93.5,-1.255,-0.071,0.393,1.317,24.58,3,0
89.6,0.52,0.676,-0.496,0.986,33.84,12,0
67.69,-0.845,0.409,0.087,0.942,31.17,3,0
113.62,-1.279,0.488,0.954,1.669,68.77,11,1
61.3,-0.02,0.698,0.246,0.74,67.42,8,0
103.59,-0.622,0.274,0.95,1.167,45.79,17,0
121.09,1.834,1.491,3.114,3.909,85.39,10,2
83.05,0.095,0.027,0.025,0.102,58.72,14,0
74.22,-0.331,-0.359,-1.196,1.292,56.06,0,0
69.83,-1.462,0.51,-0.56,1.646,59.27,7,0
86.6,-0.004,1.263,0.968,1.592,23.24,5,0
84.19,0.154,0.101,-0.503,0.535,42.28,3,0
89.85,-0.851,0.812,-0.062,1.178,52.32,10,0
65.34,0.002,0.535,0.779,0.945,57.76,4,0
83.05,0.701,-0.318,-0.031,0.771,85.0,7,0
124.72,0.607,0.932,1.662,2.0,84.06,11,1
87.77,-0.687,0.368,-0.425,0.888,55.89,18,0
67.22,-1.224,-0.156,-0.068,1.236,51.03,11,0
143.02,0.529,-1.762,-1.652,2.473,89.88,5,2
68.89,0.687,0.045,0.182,0.712,63.26,8,0
79.39,0.635,-0.059,0.693,0.942,55.34,19,0
67.39,-0.08,-0.236,-0.044,0.253,25.05,21,0
100.7,0.766,-0.448,0.199,0.91,30.84,12,0
56.18,0.234,0.101,-0.591,0.643,85.0,13,0
86.19,0.553,-0.501,-0.058,0.748,47.11,18,0
96.54,0.16,0.026,0.128,0.206,59.19,0,0
58.04,0.258,0.16,-0.229,0.38,34.46,6,0
123.05,1.622,-1.05,-0.432,1.98,79.03,14,1
83.94,0.491,-0.818,-0.532,1.092,50.52,5,0
109.6,-1.839,-1.995,2.904,3.975,64.17,21,2
98.25,2.077,0.842,0.088,2.243,51.71,18,0
92.12,0.23,-0.168,-0.103,0.303,58.29,20,0
81.33,-0.08,-0.204,-0.029,0.221,28.27,1,0
84.51,0.651,0.036,-0.09,0.658,49.63,1,0
98.13,0.018,-0.01,-0.01,0.023,39.85,11,0
124.76,-0.852,0.027,0.794,1.164,28.28,2,0
85.56,0.22,0.529,0.474,0.743,53.77,0,0
143.4,-0.943,-1.969,2.207,3.105,80.05,19,2
79.11,-0.764,-0.337,0.373,0.914,26.49,18,0
128.63,-1.196,-1.262,1.259,2.147,44.51,19,0
68.07,0.127,-0.358,-1.193,1.252,51.92,16,0
169.42,-1.889,-2.267,0.861,3.073,95.09,21,2
107.67,-0.294,1.383,0.403,1.47,46.25,18,0
99.21,0.314,-0.112,0.696,0.772,77.07,11,0
79.3,-0.038,-0.645,-0.941,1.141,44.65,17,0
80.75,0.891,0.785,1.778,2.138,38.52,17,0
75.65,-0.997,-0.428,-0.178,1.099,69.4,19,0
66.04,0.112,-0.058,-0.03,0.129,50.54,5,0
90.6,-0.518,0.859,1.307,1.648,57.28,13,0
79.66,-0.266,-0.378,0.069,0.467,26.66,20,0
100.28,0.144,0.088,0.007,0.169,65.97,18,0
126.0,2.595,-1.702,-1.991,3.687,90.15,17,2
109.77,-0.022,0.048,-0.04,0.067,49.04,10,0
110.3,0.41,0.796,1.531,1.773,82.17,22,1
154.44,-2.465,-1.417,-2.049,3.505,100.53,8,2
126.86,-1.027,-0.187,-1.748,2.036,81.77,12,1
102.83,0.76,0.903,1.993,2.316,73.34,12,1
115.54,-0.712,0.889,-0.071,1.142,38.59,7,0
94.85,-0.352,1.443,0.303,1.515,34.79,21,0
83.02,0.007,-0.226,-0.344,0.412,41.33,15,0
126.79,-0.512,2.114,-0.903,2.356,71.42,10,1
102.64,1.555,-0.251,1.596,2.243,73.18,1,1
62.58,-0.532,0.876,-0.142,1.035,59.68,3,0
93.18,1.028,-0.435,-0.237,1.142,32.32,3,0
106.64,0.702,-0.832,2.248,2.498,62.95,12,1
74.33,-0.038,0.723,-0.907,1.16,37.29,10,0
159.68,2.177,0.486,0.288,2.249,93.9,4,2
118.7,0.779,1.824,0.402,2.023,78.04,17,1
93.78,-0.327,0.491,0.049,0.592,54.0,4,0
100.1,-0.894,1.125,-1.031,1.768,43.37,3,0
99.78,-1.093,0.56,-0.086,1.231,77.53,11,0
130.79,1.57,0.773,0.568,1.84,71.62,23,1
75.86,-0.341,-0.273,-0.617,0.756,32.01,13,0
97.59,-1.111,-0.5,0.373,1.274,34.5,7,0
125.61,1.121,1.263,1.468,2.237,79.83,5,1
148.04,-0.053,2.596,-0.777,2.71,91.59,8,2
126.91,-0.976,0.613,1.113,1.602,70.13,16,1
71.62,0.01,-0.035,-0.024,0.043,35.86,8,0
62.06,-0.827,-0.291,1.109,1.413,68.27,1,0
66.13,0.626,-0.584,-1.421,1.659,38.63,3,0
64.0,0.145,1.126,0.004,1.135,43.55,2,0
111.9,-1.775,1.465,-0.056,2.302,82.03,8,1
69.88,-0.066,-0.116,-0.058,0.145,33.53,21,0
76.87,0.303,0.239,0.229,0.449,32.73,12,0
93.34,-0.546,-0.233,-0.221,0.633,54.73,15,0
121.04,-0.438,1.432,0.467,1.569,70.31,4,1
80.16,-0.106,0.217,0.337,0.414,41.39,5,0
70.11,-0.108,0.059,-0.08,0.147,39.57,20,0
90.7,-0.9,-0.314,0.103,0.959,31.5,21,0
68.59,0.794,-0.68,-0.036,1.0460076481555955,122.57583664247231,19,0
68.21,-1.353,0.392,1.136,1.809,36.7,4,0
96.49,-0.741,-0.205,-0.245,0.806,24.91,6,0
103.13,-0.063,-0.301,1.277,1.314,61.03,10,1
98.33,-0.183,0.622,0.244,0.692,80.48,21,0
119.57,1.339,1.806,-0.197,2.257,83.07,1,1
119.98,-0.936,-0.613,-2.866,3.076,65.41,10,1
92.1,0.052,-0.055,0.009,0.076,43.33,7,0
73.14,0.698,-0.126,0.117,0.719,54.93,13,0
85.99,-0.188,-0.394,0.883,0.985,50.36,13,0
116.27,-1.778,-0.879,-0.185,1.993,56.09,20,1
116.78,-1.052,1.081,-0.848,1.731,82.07,23,1
88.8,-1.134,-0.032,-0.326,1.181,31.38,7,0
123.41,0.658,0.366,1.665,1.827,84.0,16,1
121.42,-0.733,0.802,-0.782,1.338,76.7,7,1
66.81,0.831,0.443,-0.444,1.042,53.99,11,0
111.86,0.907,0.773,-1.567,1.968,64.64,5,1
88.5,-0.11,0.754,0.448,0.884,65.17,11,0
152.87,0.575,-2.63,-0.219,2.701,91.16,20,2
104.0,1.988,0.793,-0.527,2.204,50.56,20,0
109.21,-0.567,0.145,0.049,0.587,26.72,17,0
129.62,-0.314,-0.397,0.875,1.011,35.86,18,0
75.73,1.916,0.243,-0.14,1.936,49.9,14,0
88.02,0.452,5.397099642084607,1.329,5.576668319578437,55.17,2,0
58.98,-0.316,-0.605,0.454,0.819,24.69,11,0
103.54,-0.445,1.186,0.832,1.515,59.38,1,1
84.19,-0.089,-0.84,-0.068,0.847,45.02,7,0
153.85,-0.752,-0.622,-1.817,2.062,62.9,6,1
105.94,-0.249,-1.127,1.782,2.123,73.69,2,1
113.34,-0.048,0.41,1.911,1.955,73.6,13,1
86.89,-0.194,0.381,-0.437,0.612,51.9,7,0
56.0,0.614,-0.409,-1.109,1.332,22.71,16,0
104.14,-1.608,-1.878,1.156,2.73,75.63,17,1
59.87,0.253,-0.688,0.413,0.842,41.93,10,0
91.34,-0.01,0.091,0.015,0.093,53.57,9,0
122.42,-1.341,1.34,-0.829,2.069,56.49,5,1
80.28,0.272,-1.099,0.614,1.288,43.4,14,0
109.59,-2.288,0.323,0.661,2.403,62.12,11,1
96.32,0.117,0.097,0.599,0.618,35.15,18,0
94.88,-0.103,-0.213,0.085,0.251,16.0,12,0
82.37,-1.078,0.659,0.098,1.267,50.41,10,0
99.48,0.562,-0.487,0.027,0.744,34.35,13,0
107.3,-1.788,0.805,-0.005,1.961,69.89,13,1
100.89,0.295,-0.713,-0.451,0.894,28.92,1,0
101.8,-0.143,0.21,-0.393,0.468,45.15,19,0
88.92,0.591,0.19,0.333,0.704,20.1,13,0
42.0303882041039,-0.543,0.792,1.19,1.5291216432972232,71.53,16,1
109.12,0.996,-1.108,1.425,2.062,79.05,8,1
59.29,1.648,0.497,-1.561,2.324,37.29,13,0
95.65,0.061,-0.51,-0.554,0.756,33.3,17,0
118.48,-1.056,-1.191,-0.511,1.672,48.14,12,1
72.71,0.618,-0.896,0.217,1.11,47.47,14,0
107.04,1.942,-1.328,0.086,2.355,87.63,12,1
91.38,0.107,-0.131,0.09,0.192,25.42,10,0
96.81,-0.231,-0.381,0.219,0.497,35.8,1,0
86.78,-0.276,-0.045,-0.339,0.44,45.62,7,0
90.12,-0.065,-0.108,-0.365,0.386,69.29,12,0
105.39,0.844,-1.841,0.09,2.027,68.49,11,1
84.84,0.336,-0.479,0.592,0.832,46.65,16,0
97.22,0.037,0.004,-0.118,0.124,32.68,13,0
109.25,-1.196,-0.443,-1.157,1.722,57.63,12,1
79.97,0.13,0.328,0.769,0.846,19.78,10,0
96.82,-0.793,-0.007,0.415,0.895,28.93,1,0
73.89,0.108,-0.161,-0.445,0.485,40.47,9,0
139.66,2.491,0.853,1.053,2.836,76.6,12,1
122.97,1.492,-0.709,-0.639,1.771,76.58,10,1
132.73,-0.276,-3.133,-0.305,3.16,108.91,12,2
76.55,0.781,-0.689,0.226,1.066,50.19,11,0
92.51,-0.088,0.715,0.545,0.903,29.27,7,0
158.89,-0.459,2.989,2.43,3.879,86.91,11,2
94.71,-0.525,1.337,0.619,1.564,35.87,8,0
83.84,-0.511,-0.063,-0.76,0.918,56.16,0,0
83.69,-1.588,-1.557,-1.071,2.468,47.16,17,0
89.6,0.779,0.14,-0.176,0.811,51.52,0,0
98.97,0.675,1.266,0.185,1.447,21.34,21,0
82.67,-0.372,-0.825,-1.38,1.65,16.0,9,0
94.31,-0.234,-0.89,-1.446,1.714,45.5,5,0
114.81,0.055,0.01,0.142,0.153,43.9,6,0
66.12,1.061,-0.572,-0.436,1.282,45.92,6,0
130.16,0.995,-0.46,-1.155,1.593,102.43,16,2
159.21,0.25,2.891,0.31,2.918,106.48,0,2
104.0,-0.006,0.032,-0.122,0.126,26.58,14,0
77.07,-0.247,1.162,-0.452,1.271,54.86,15,0
96.61,1.592,0.426,-0.405,1.697,30.3,17,0
114.91,-0.399,-1.239,1.425,1.93,66.96,3,1
70.24,-0.752,-0.666,-0.591,1.166,51.66,9,0
76.34,0.503,-0.351,0.194,0.643,26.58,12,0
70.18,-0.044,-0.14,0.038,0.151,35.61,9,0
107.43,0.297,0.596,0.046,0.667,55.98,14,0
82.43,-0.976,-0.604,-0.582,1.287,22.62,8,0
78.39,-0.137,-0.117,-0.02,0.181,39.9,3,0
121.29,-1.503,0.768,-1.025,1.975,91.04,16,2
84.44,-0.355,-1.515,-0.828,1.763,51.56,2,0
82.23,-0.147,-0.001,0.026,0.149,31.24,1,0
86.79,0.349,0.01,0.973,1.033,58.69,10,0
98.87,0.033,-0.34,0.145,0.371,49.79,18,0
80.81,-1.485,-0.178,0.042,1.496,37.98,2,0
95.51,-0.787,0.142,0.86,1.175,50.49,19,0
85.85,-0.399,0.09,-1.105,1.178,52.1,13,0
96.54,-2.179,0.125,-0.209,2.193,34.03,20,0
72.16,-1.123,-0.104,0.177,1.141,40.07,9,0
101.74,0.393,-0.01,0.588,0.707,26.1,11,0
90.33,0.601,-0.248,0.72,0.97,30.57,17,0
106.34,0.864,-0.982,0.271,1.336,79.85,15,1
82.02,0.006,-0.278,-0.368,0.461,29.3,13,0
64.45,0.237,-0.763,1.105,1.363,24.85,19,0
59.39,0.041,1.398,0.189,1.412,62.37,20,0
103.97,0.319,1.265,0.929,1.602,65.68,23,1
101.56,0.622,-1.064,4.002479656470561,4.187937845821103,27.56,14,0
80.87,0.367,-0.375,-0.019,0.525,30.09,19,0
92.91,0.259,0.055,-0.806,0.849,31.53,5,0
68.95,-0.37,-0.854,-0.765,1.204,46.35,22,0
42.54456435825357,-0.168,1.505,0.442,1.5775338348193992,52.44,4,0
92.48,-0.287,-0.187,-0.602,0.693,29.3,14,0
71.03,0.482,-0.534,-1.174,1.377,39.05,12,0
143.88,-1.499,-0.176,0.424,1.568,64.21,4,1
124.39,0.641,-1.312,1.753,2.281,75.82,6,1
60.25,0.381,-0.04,-0.321,0.5,50.52,9,0
96.4,-0.2,-0.385,0.151,0.459,61.91,10,0
115.79,-0.107,0.106,0.051,0.159,37.04,5,0
153.81,-1.994,-0.065,3.182,3.756,97.45,14,2
61.23,0.062,-0.07,0.09,0.129,54.77,6,0
120.54,1.376,-1.891,0.05,2.339,60.91,1,1
123.0,0.317,0.968,-1.809,2.076,58.61,5,1
68.07,0.48,0.097,1.076,1.182,22.13,8,0
163.5,0.525,-1.067,3.684,3.871,100.41,11,2
78.18,-0.068,-0.103,0.136,0.183,38.7,16,0
98.08,0.853,-0.529,0.471,1.109,19.71,16,0
104.34,0.199,0.949,-0.594,1.137,39.19,5,0
75.11,-0.338,-0.74,0.479,0.944,24.63,7,0
67.15,-0.225,0.09,0.059,0.25,51.02,0,0
40.471811759679554,0.098,0.108,0.391,0.41731163415366224,72.44,21,0
100.92,0.22,-0.267,-0.093,0.358,47.83,14,0
82.44,-0.08,0.071,-0.058,0.122,63.01,10,0
153.72,-1.979,2.413,0.107,3.122572497156791,126.91776993161548,20,2
86.48,0.12,-0.576,-1.043,1.198,38.26,2,0
71.39,0.516,0.305,-0.734,0.948,75.1,6,0
86.63,0.907,-0.825,-0.985,1.573,57.29,15,0
122.73,-2.236,-0.424,-1.295,2.619,75.83,8,1
112.64,-0.238,1.379,1.556,2.093,71.17,19,1
130.0,0.142,-0.545,-0.168,0.588,30.27,14,0
